,Data Source,Import/Export,Date,HS Code,Product Description,Purchaser,Supplier,Weight,Quantity,Amount,Destination,Origin,Product,Month/Year
63,All of Vietnam,Export,2024-05-16,20089990.0,"Xoài sấy- DRIED MANGO SLICES , Hàng mới 100%#&VN",V. Besana S.P.A,Công ty TNHH Bigitexco,,2.0,379.7,Vietnam,Vietnam,Xoài sấy,2024-05
64,All of Vietnam,Export,2024-03-15,8045022.0,"Xoài sấy dẻo - DRIED MANGO (140G x 20BAGS/CARTON) 2.8kg/thùng, không nhãn hiệu, hàng mới 100%#&VN","Anmin Co., Ltd.",Cty Tnhh Mtv Viễn Hồng,,80.0,54.6,Hong Kong,Vietnam,Xoài sấy,2024-03
65,All of Vietnam,Export,2024-05-15,8134090.0,"""DRIED MANGO XOÀI SẤY DẺO - HỘP 500G MANUFACTURED BY: VILIFARM -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Le Van,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,2.0,0.1,Vietnam,Vietnam,Xoài sấy,2024-05
66,All of Vietnam,Export,2024-05-15,8109099.0,"DRIED MANGO, PN NUMBER: 240500192332, WEIGHT: 0.7KG/BAG, MANUFACTURER: QUANG THAI - LAM DONG, VIET NAM, TÊN HÀNG TIẾNG VIỆT: XOÀI SẤY, HÀNG TẶNG MỚI 100%#&VN",Ngoc Pham,Công ty TNHH Thương Mại Dịch Vụ T.T Quốc Tế,,6.0,0.3,United States of America,Vietnam,Xoài sấy,2024-05
67,All of Vietnam,Export,2024-05-15,20089990.0,"Xoài sấy dẻo (DRIED MANGO), 7 kg/thùng, hàng mới 100%#&VN",Sunlife Import And Export Pty Ltd.,Công ty TNHH Sáu Ri,,196.0,28.2,Vietnam,Vietnam,Xoài sấy,2024-05
68,All of Vietnam,Export,2024-05-15,20060000.0,"Xoài sấy khô, không đường, DRIED MANGO (NO SUGAR), đóng gói: 1 KG/ BAG, 20 BAGS/CARTON, không nhãn hiệu. Hàng mới 100%#&VN",A To Fruit Limited Liability Company,Công ty TNHH MTV Thủy Yến,,7640.0,1456.2,Vietnam,Vietnam,Xoài sấy,2024-05
69,All of Vietnam,Export,2024-03-08,8045022.0,"Xoài sấy dẻo - Mangoes dried, đóng gói 5kg/thùng. Hàng mới 100%#&VN",Llc (Renaissance Traiding House),Công ty TNHH V.Kaus,,27000.0,2921.4,Russia,Vietnam,Xoài sấy,2024-03
70,All of Vietnam,Export,2024-03-04,8045022.0,"Xoài sấy khô dẻo (Good Dried Mango 95%), 80g/túi. Hàng mới 100%#&VN","Sunwoo International Co.,Ltd",Công ty TNHH Olmish Asia Food,,4000.0,43.1,South Korea,Vietnam,Xoài sấy,2024-03
71,All of Vietnam,Export,2024-03-04,8045022.0,"Xoài sấy khô dẻo ( Good Dried Mango 100%), 80g/túi. Hàng mới 100%#&VN","Sunwoo International Co.,Ltd",Công ty TNHH Olmish Asia Food,,4000.0,46.9,South Korea,Vietnam,Xoài sấy,2024-03
72,All of Vietnam,Export,2024-02-27,8045022.0,"Xoài sấy khô - Dried Mango, Qui cách đóng gói 0.5kg/bag, 40 bag/carton#&VN",Ooo Td Endaksi,CTCP Tập Đoàn Good Farmers,,3120.0,320.0,Russia,Vietnam,Xoài sấy,2024-02
73,All of Vietnam,Export,2024-02-27,8045022.0,"Xoài sấy khô - Dried Mango, Qui cách đóng gói 1kg/bag, 20 bag/carton#&VN",Ooo Td Endaksi,CTCP Tập Đoàn Good Farmers,,3120.0,320.0,Russia,Vietnam,Xoài sấy,2024-02
74,All of Vietnam,Export,2024-02-27,8045022.0,"Xoài sấy khô - Dried Mango, Qui cách đóng gói 0.5kg/bag, 40 bag/carton#&VN",Ooo Td Endaksi,CTCP Tập Đoàn Good Farmers,,3140.0,322.1,Russia,Vietnam,Xoài sấy,2024-02
75,All of Vietnam,Export,2024-02-27,8045022.0,"Xoài sấy khô - Dried Mango, Qui cách đóng gói 1kg/bag, 20 bag/carton#&VN",Ooo Td Endaksi,CTCP Tập Đoàn Good Farmers,,3140.0,322.1,Russia,Vietnam,Xoài sấy,2024-02
76,All of Vietnam,Export,2024-05-14,20079990.0,"""DRIED MANGO JAM 500GR (MỨT XOÀI) (MANUFACTURER: MINH THONG -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Ngoc Mai,Công ty TNHH Chuyển Phát Nhanh Quốc Tế Âu Mỹ,,2.0,0.3,United States of America,Vietnam,Xoài sấy,2024-05
77,All of Vietnam,Export,2024-05-14,20060000.0,"Xoài sấy dẻo - TVL SOFT DRIED MANGO 100G, 100g/pack x 50 pack/carton, NSX: TUAN DAT. Hàng mới 100%#&VN","Aeon Stores (Hong Kong) Co., Ltd.",Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,90.0,115.6,Hong Kong,Vietnam,Xoài sấy,2024-05
78,All of Vietnam,Export,2024-05-14,20079990.0,"DRIED MANGO - XOÀI SẤY (500GR/BAG), MFG: TIN PHONG MANUFACTURE FACTORY, HÀNG TẶNG MỚI 100%#&VN",Trang Nhung,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,6.0,0.6,Vietnam,Vietnam,Xoài sấy,2024-05
79,All of Vietnam,Export,2024-02-27,8045022.0,"Xoài sấy khô - Dried Mango, Qui cách đóng gói 0.5kg/bag, 40 bag/carton#&VN",Ooo Td Endaksi,CTCP Tập Đoàn Good Farmers,,3120.0,320.0,Russia,Vietnam,Xoài sấy,2024-02
80,All of Vietnam,Export,2024-05-14,8045022.0,"""DRIED MANGO,XOÀI SẤY DẺO- 1KG/1 BAG- NSX: ĂN VẶT ĐẶC SẢN BA MIỀN ,HÀNG QUÀ TẶNG- MỚI 100%""#&VN",Van Phan,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,5.0,0.4,Vietnam,Vietnam,Xoài sấy,2024-05
